facility_id,facility_type,governorate,sku_id,manufacturer,unit_price_egp,flu_index,allergy_index,promotion_flag,public_holiday_flag,day,month,season,actual_demand_units
FAC049,Hospital Pharmacy,Qena,SKU025,Novo Nordisk Egypt,144.44,68.1,18.6,0,0,2,1,Winter,5.0
FAC049,Hospital Pharmacy,Qena,SKU048,Acino Egypt,66.47,68.1,18.6,0,0,2,1,Winter,9.0
FAC048,Hospital Pharmacy,Sohag,SKU015,EVA Pharma,27.46,68.0,20.8,0,0,2,1,Winter,8.0
FAC030,Retail Pharmacy,Alexandria,SKU004,Novartis Egypt,47.47,70.5,22.9,0,0,3,1,Winter,18.0
FAC030,Retail Pharmacy,Alexandria,SKU035,Sanofi Egypt,136.27,70.5,22.9,0,0,3,1,Winter,8.0
FAC057,Clinic Pharmacy,Alexandria,SKU062,EVA Pharma,26.31,70.5,22.9,0,0,3,1,Winter,27.0
FAC051,Hospital Pharmacy,Aswan,SKU028,Pfizer Egypt,50.58,73.6,23.9,0,0,3,1,Winter,20.0
FAC051,Hospital Pharmacy,Aswan,SKU071,Bayer Egypt,40.75,73.6,23.9,0,0,3,1,Winter,12.0
FAC018,Retail Pharmacy,Beni Suef,SKU033,Pfizer Egypt,42.82,82.5,25.6,0,0,3,1,Winter,10.0
FAC018,Retail Pharmacy,Beni Suef,SKU046,Memphis,39.78,82.5,25.6,0,0,3,1,Winter,5.0
FAC001,Retail Pharmacy,Cairo,SKU023,Sanofi Egypt,518.82,74.6,26.4,0,0,3,1,Winter,3.0
FAC001,Retail Pharmacy,Cairo,SKU053,Pfizer Egypt,88.83,74.6,26.4,0,0,3,1,Winter,4.0
FAC028,Retail Pharmacy,Cairo,SKU075,Novartis Egypt,50.75,74.6,26.4,0,0,3,1,Winter,16.0
FAC055,Hospital Pharmacy,Cairo,SKU032,Sanofi Egypt,31.02,74.6,26.4,0,0,3,1,Winter,12.0
FAC032,Retail Pharmacy,Dakahlia,SKU006,GSK Egypt,52.39,53.9,21.0,0,0,3,1,Winter,7.0
FAC032,Retail Pharmacy,Dakahlia,SKU041,Bayer Egypt,35.96,53.9,21.0,0,0,3,1,Winter,11.0
FAC059,Clinic Pharmacy,Dakahlia,SKU061,Leo Egypt,132.65,53.9,21.0,0,0,3,1,Winter,2.0
FAC011,Retail Pharmacy,Damietta,SKU038,AstraZeneca Egypt,146.73,72.1,25.0,0,0,3,1,Winter,5.0
FAC011,Retail Pharmacy,Damietta,SKU050,AstraZeneca Egypt,50.89,72.1,25.0,0,0,3,1,Winter,9.0
FAC017,Retail Pharmacy,Fayoum,SKU071,Bayer Egypt,41.04,73.2,21.1,0,0,3,1,Winter,9.0
FAC029,Retail Pharmacy,Giza,SKU063,GSK Egypt,62.95,78.4,22.2,0,0,3,1,Winter,5.0
FAC013,Retail Pharmacy,Ismailia,SKU075,Novartis Egypt,50.45,67.3,20.1,0,0,3,1,Winter,10.0
FAC010,Retail Pharmacy,Kafr El Sheikh,SKU011,EIPICO,43.84,77.8,29.2,0,0,3,1,Winter,2.0
FAC064,Clinic Pharmacy,Kafr El Sheikh,SKU016,AstraZeneca Egypt,68.9,77.8,29.2,0,0,3,1,Winter,12.0
FAC064,Clinic Pharmacy,Kafr El Sheikh,SKU030,Novartis Egypt,103.83,77.8,29.2,0,0,3,1,Winter,5.0
FAC023,Retail Pharmacy,Luxor,SKU063,GSK Egypt,60.58,63.1,32.9,1,0,3,1,Winter,7.0
FAC026,Retail Pharmacy,Matrouh,SKU001,EVA Pharma,24.04,74.0,32.0,0,0,3,1,Winter,27.0
FAC026,Retail Pharmacy,Matrouh,SKU056,Schering Egypt,17.08,74.0,32.0,0,0,3,1,Winter,3.0
FAC019,Retail Pharmacy,Minya,SKU066,CID,26.93,73.9,22.3,0,0,3,1,Winter,12.0
FAC046,Hospital Pharmacy,Minya,SKU025,Novo Nordisk Egypt,145.73,73.9,22.3,1,0,3,1,Winter,5.0
FAC008,Retail Pharmacy,Monufia,SKU017,Takeda Egypt,79.78,72.4,29.1,1,0,3,1,Winter,9.0
FAC008,Retail Pharmacy,Monufia,SKU071,Bayer Egypt,41.83,72.4,29.1,0,0,3,1,Winter,14.0
FAC062,Clinic Pharmacy,Monufia,SKU002,CID,17.63,72.4,29.1,0,0,3,1,Winter,12.0
FAC062,Clinic Pharmacy,Monufia,SKU026,Pfizer Egypt,93.16,72.4,29.1,0,0,3,1,Winter,9.0
FAC015,Retail Pharmacy,North Sinai,SKU076,Lundbeck Egypt,131.95,68.4,27.3,0,0,3,1,Winter,3.0
FAC039,Retail Pharmacy,Port Said,SKU076,Lundbeck Egypt,127.77,77.4,24.6,0,0,3,1,Winter,3.0
FAC031,Retail Pharmacy,Qalyubia,SKU010,Hikma Egypt,115.22,64.2,23.7,0,0,3,1,Winter,6.0
FAC058,Clinic Pharmacy,Qalyubia,SKU058,Pfizer Egypt,77.72,64.2,23.7,0,0,3,1,Winter,1.0
FAC022,Retail Pharmacy,Qena,SKU016,AstraZeneca Egypt,70.3,69.9,21.6,0,0,3,1,Winter,11.0
FAC025,Retail Pharmacy,Red Sea,SKU023,Sanofi Egypt,508.98,77.6,20.5,0,0,3,1,Winter,2.0
FAC025,Retail Pharmacy,Red Sea,SKU033,Pfizer Egypt,41.15,77.6,20.5,1,0,3,1,Winter,9.0
FAC052,Hospital Pharmacy,Red Sea,SKU015,EVA Pharma,26.64,77.6,20.5,0,0,3,1,Winter,9.0
FAC052,Hospital Pharmacy,Red Sea,SKU045,MUP,28.65,77.6,20.5,0,0,3,1,Winter,12.0
FAC052,Hospital Pharmacy,Red Sea,SKU050,AstraZeneca Egypt,49.52,77.6,20.5,0,0,3,1,Winter,9.0
FAC033,Retail Pharmacy,Sharqia,SKU025,Novo Nordisk Egypt,151.49,82.0,18.9,0,0,3,1,Winter,3.0
FAC033,Retail Pharmacy,Sharqia,SKU030,Novartis Egypt,108.22,82.0,18.9,0,0,3,1,Winter,8.0
FAC060,Clinic Pharmacy,Sharqia,SKU052,Sanofi Egypt,64.57,82.0,18.9,1,0,3,1,Winter,3.0
FAC020,Retail Pharmacy,Assiut,SKU049,Aspen Egypt,27.5,74.9,30.0,1,1,4,1,Winter,13.0
FAC009,Retail Pharmacy,Beheira,SKU009,Pharco,73.54,76.7,20.9,1,1,4,1,Winter,11.0
FAC009,Retail Pharmacy,Beheira,SKU022,Servier Egypt,91.08,76.7,20.9,0,1,4,1,Winter,8.0
FAC009,Retail Pharmacy,Beheira,SKU036,Sanofi Egypt,187.32,76.7,20.9,0,1,4,1,Winter,3.0
FAC018,Retail Pharmacy,Beni Suef,SKU003,Abbott Egypt,40.6,78.7,24.5,1,1,4,1,Winter,33.0
FAC018,Retail Pharmacy,Beni Suef,SKU012,Sanofi Egypt,39.11,78.7,24.5,0,1,4,1,Winter,14.0
FAC055,Hospital Pharmacy,Cairo,SKU049,Aspen Egypt,28.31,71.9,29.7,0,1,4,1,Winter,17.0
FAC005,Retail Pharmacy,Dakahlia,SKU074,Takeda Egypt,88.53,74.8,25.6,1,1,4,1,Winter,11.0
FAC011,Retail Pharmacy,Damietta,SKU076,Lundbeck Egypt,126.17,75.1,25.9,0,1,4,1,Winter,3.0
FAC007,Retail Pharmacy,Gharbia,SKU044,SIGMA,57.545,80.2,25.5,0,1,4,1,Winter,22.0
FAC034,Retail Pharmacy,Gharbia,SKU016,AstraZeneca Egypt,67.35,80.2,25.5,0,1,4,1,Winter,18.0
FAC040,Retail Pharmacy,Ismailia,SKU034,CID,20.47,62.7,18.0,0,1,4,1,Winter,8.0
FAC040,Retail Pharmacy,Ismailia,SKU079,GSK Egypt,152.56,62.7,18.0,0,1,4,1,Winter,11.0
FAC037,Retail Pharmacy,Kafr El Sheikh,SKU049,Aspen Egypt,28.2,76.9,22.9,0,1,4,1,Winter,10.0
FAC023,Retail Pharmacy,Luxor,SKU012,Sanofi Egypt,38.8,67.6,23.9,0,1,4,1,Winter,13.0
FAC023,Retail Pharmacy,Luxor,SKU042,UCB Egypt,55.85,67.6,23.9,0,1,4,1,Winter,8.0
FAC026,Retail Pharmacy,Matrouh,SKU022,Servier Egypt,96.26,76.4,27.2,0,1,4,1,Winter,5.0
FAC026,Retail Pharmacy,Matrouh,SKU034,CID,20.6,76.4,27.2,0,1,4,1,Winter,19.0
FAC053,Hospital Pharmacy,Matrouh,SKU061,Leo Egypt,126.22,76.4,27.2,1,1,4,1,Winter,2.0
FAC062,Clinic Pharmacy,Monufia,SKU005,GSK Egypt,60.57,67.0,34.6,1,1,4,1,Winter,9.0
FAC062,Clinic Pharmacy,Monufia,SKU058,Pfizer Egypt,77.63,67.0,34.6,0,1,4,1,Winter,1.0
FAC027,Retail Pharmacy,New Valley,SKU076,Lundbeck Egypt,133.08,70.4,21.2,1,1,4,1,Winter,3.0
FAC012,Retail Pharmacy,Port Said,SKU026,Pfizer Egypt,96.39,67.6,26.6,0,1,4,1,Winter,13.0
FAC039,Retail Pharmacy,Port Said,SKU020,Merck Egypt,49.37,67.6,26.6,0,1,4,1,Winter,13.0
FAC004,Retail Pharmacy,Qalyubia,SKU047,EIPICO,48.3,68.8,25.6,0,1,4,1,Winter,6.0
FAC049,Hospital Pharmacy,Qena,SKU049,Aspen Egypt,27.82,73.9,23.7,0,1,4,1,Winter,11.0
FAC025,Retail Pharmacy,Red Sea,SKU043,GSK Egypt,29.17,73.2,27.5,0,1,4,1,Winter,18.0
FAC006,Retail Pharmacy,Sharqia,SKU079,GSK Egypt,144.26,59.7,18.5,0,1,4,1,Winter,8.0
FAC033,Retail Pharmacy,Sharqia,SKU033,Pfizer Egypt,40.4,59.7,18.5,1,1,4,1,Winter,10.0
FAC033,Retail Pharmacy,Sharqia,SKU073,Pfizer Egypt,90.14,59.7,18.5,0,1,4,1,Winter,2.0
FAC060,Clinic Pharmacy,Sharqia,SKU057,Pfizer Egypt,59.47,59.7,18.5,0,1,4,1,Winter,3.0
FAC048,Hospital Pharmacy,Sohag,SKU055,BMS Egypt,46.65,87.1,27.0,0,1,4,1,Winter,3.0
FAC016,Retail Pharmacy,South Sinai,SKU012,Sanofi Egypt,38.26,75.7,23.1,0,1,4,1,Winter,16.0
FAC016,Retail Pharmacy,South Sinai,SKU040,UCB Egypt,45.57,75.7,23.1,0,1,4,1,Winter,8.0
FAC014,Retail Pharmacy,Suez,SKU017,Takeda Egypt,79.29,66.2,22.9,1,1,4,1,Winter,6.0
FAC003,Retail Pharmacy,Alexandria,SKU039,MSD Egypt,80.36,72.3,29.6,0,1,5,1,Winter,9.0
FAC030,Retail Pharmacy,Alexandria,SKU060,Pfizer Egypt,79.76,72.3,29.6,1,1,5,1,Winter,5.0
FAC057,Clinic Pharmacy,Alexandria,SKU036,Sanofi Egypt,57.545,72.3,29.6,0,1,5,1,Winter,2.0
FAC020,Retail Pharmacy,Assiut,SKU021,CID,42.96,72.2,25.8,0,1,5,1,Winter,11.0
FAC020,Retail Pharmacy,Assiut,SKU058,Pfizer Egypt,75.24,72.2,25.8,0,1,5,1,Winter,2.0
FAC018,Retail Pharmacy,Beni Suef,SKU029,Merck Egypt,69.59,73.1,31.9,1,1,5,1,Winter,17.0
FAC001,Retail Pharmacy,Cairo,SKU037,GSK Egypt,65.31,71.1,21.1,0,1,5,1,Winter,9.0
FAC055,Hospital Pharmacy,Cairo,SKU047,EIPICO,45.71,71.1,21.1,0,1,5,1,Winter,7.0
FAC059,Clinic Pharmacy,Dakahlia,SKU036,Sanofi Egypt,194.38,69.4,26.7,0,1,5,1,Winter,2.0
FAC011,Retail Pharmacy,Damietta,SKU036,Sanofi Egypt,184.61,73.1,23.4,1,1,5,1,Winter,4.0
FAC038,Retail Pharmacy,Damietta,SKU050,AstraZeneca Egypt,53.21,73.1,23.4,0,1,5,1,Winter,9.0
FAC007,Retail Pharmacy,Gharbia,SKU006,GSK Egypt,50.98,78.0,20.5,0,1,5,1,Winter,4.0
FAC007,Retail Pharmacy,Gharbia,SKU062,EVA Pharma,26.35,78.0,20.5,0,1,5,1,Winter,41.0
FAC034,Retail Pharmacy,Gharbia,SKU050,AstraZeneca Egypt,51.43,78.0,20.5,0,1,5,1,Winter,7.0
FAC013,Retail Pharmacy,Ismailia,SKU002,CID,18.77,73.8,27.9,0,1,5,1,Winter,16.0
FAC010,Retail Pharmacy,Kafr El Sheikh,SKU054,Lundbeck Egypt,111.19,64.3,29.2,0,1,5,1,Winter,4.0
FAC010,Retail Pharmacy,Kafr El Sheikh,SKU056,Schering Egypt,16.57,64.3,29.2,0,1,5,1,Winter,2.0
FAC037,Retail Pharmacy,Kafr El Sheikh,SKU061,Leo Egypt,124.25,64.3,29.2,0,1,5,1,Winter,2.0
FAC023,Retail Pharmacy,Luxor,SKU004,Novartis Egypt,46.95,73.9,26.3,0,1,5,1,Winter,12.0
FAC053,Hospital Pharmacy,Matrouh,SKU041,Bayer Egypt,35.74,80.1,23.5,0,1,5,1,Winter,25.0
FAC019,Retail Pharmacy,Minya,SKU032,Sanofi Egypt,30.75,77.9,23.3,0,1,5,1,Winter,11.0
FAC019,Retail Pharmacy,Minya,SKU042,UCB Egypt,58.4,77.9,23.3,0,1,5,1,Winter,8.0
FAC027,Retail Pharmacy,New Valley,SKU008,Hikma Egypt,90.27,83.2,23.5,0,1,5,1,Winter,4.0
FAC054,Hospital Pharmacy,New Valley,SKU017,Takeda Egypt,79.06,83.2,23.5,0,1,5,1,Winter,11.0
FAC054,Hospital Pharmacy,New Valley,SKU077,Janssen Egypt,65.68,83.2,23.5,0,1,5,1,Winter,6.0
FAC031,Retail Pharmacy,Qalyubia,SKU069,AstraZeneca Egypt,55.34,73.8,26.0,0,1,5,1,Winter,8.0
FAC058,Clinic Pharmacy,Qalyubia,SKU053,Pfizer Egypt,86.42,73.8,26.0,0,1,5,1,Winter,2.0
FAC058,Clinic Pharmacy,Qalyubia,SKU061,Leo Egypt,129.24,73.8,26.0,0,1,5,1,Winter,1.0
FAC049,Hospital Pharmacy,Qena,SKU036,Sanofi Egypt,187.3,74.9,27.5,1,1,5,1,Winter,4.0
FAC025,Retail Pharmacy,Red Sea,SKU064,EIPICO,49.7,82.4,27.1,0,1,5,1,Winter,4.0
FAC052,Hospital Pharmacy,Red Sea,SKU016,AstraZeneca Egypt,67.28,82.4,27.1,1,1,5,1,Winter,18.0
FAC006,Retail Pharmacy,Sharqia,SKU055,BMS Egypt,49.76,71.6,24.3,0,1,5,1,Winter,2.0
FAC033,Retail Pharmacy,Sharqia,SKU032,Sanofi Egypt,30.7,71.6,24.3,0,1,5,1,Winter,10.0
FAC021,Retail Pharmacy,Sohag,SKU024,Novo Nordisk Egypt,141.93,77.0,31.5,0,1,5,1,Winter,3.0
FAC021,Retail Pharmacy,Sohag,SKU059,EIPICO,22.71,77.0,31.5,0,1,5,1,Winter,7.0
FAC021,Retail Pharmacy,Sohag,SKU074,Takeda Egypt,90.29,77.0,31.5,0,1,5,1,Winter,9.0
FAC048,Hospital Pharmacy,Sohag,SKU039,MSD Egypt,81.48,77.0,31.5,1,1,5,1,Winter,15.0
FAC014,Retail Pharmacy,Suez,SKU023,Sanofi Egypt,515.76,79.9,28.5,0,1,5,1,Winter,3.0
FAC003,Retail Pharmacy,Alexandria,SKU071,Bayer Egypt,41.84,70.7,23.0,0,0,6,1,Winter,11.0
FAC057,Clinic Pharmacy,Alexandria,SKU065,Sanofi Egypt,32.08,70.7,23.0,0,0,6,1,Winter,6.0
FAC047,Hospital Pharmacy,Assiut,SKU048,Acino Egypt,67.37,64.3,29.9,0,0,6,1,Winter,9.0
FAC047,Hospital Pharmacy,Assiut,SKU070,Amoun,37.04,64.3,29.9,1,0,6,1,Winter,11.0
FAC024,Retail Pharmacy,Aswan,SKU072,CID,24.59,79.2,29.3,0,0,6,1,Winter,14.0
FAC036,Retail Pharmacy,Beheira,SKU012,Sanofi Egypt,38.58,74.7,32.2,0,0,6,1,Winter,15.0
FAC063,Clinic Pharmacy,Beheira,SKU027,AstraZeneca Egypt,100.83,74.7,32.2,1,0,6,1,Winter,8.0
FAC063,Clinic Pharmacy,Beheira,SKU063,GSK Egypt,63.36,74.7,32.2,0,0,6,1,Winter,5.0
FAC018,Retail Pharmacy,Beni Suef,SKU020,Merck Egypt,47.8,73.3,33.3,1,0,6,1,Winter,16.0
FAC001,Retail Pharmacy,Cairo,SKU061,Leo Egypt,132.68,73.6,27.3,0,0,6,1,Winter,2.0
FAC028,Retail Pharmacy,Cairo,SKU012,Sanofi Egypt,37.84,73.6,27.3,0,0,6,1,Winter,11.0
FAC055,Hospital Pharmacy,Cairo,SKU032,Sanofi Egypt,32.26,73.6,27.3,0,0,6,1,Winter,11.0
FAC005,Retail Pharmacy,Dakahlia,SKU007,GSK Egypt,119.5,71.5,27.6,0,0,6,1,Winter,7.0
FAC032,Retail Pharmacy,Dakahlia,SKU076,Lundbeck Egypt,133.02,71.5,27.6,0,0,6,1,Winter,3.0
FAC017,Retail Pharmacy,Fayoum,SKU041,Bayer Egypt,34.95,76.6,29.0,0,0,6,1,Winter,12.0
FAC034,Retail Pharmacy,Gharbia,SKU045,MUP,28.89,70.7,23.7,0,0,6,1,Winter,11.0
FAC061,Clinic Pharmacy,Gharbia,SKU041,Bayer Egypt,35.22,70.7,23.7,0,0,6,1,Winter,10.0
FAC040,Retail Pharmacy,Ismailia,SKU011,EIPICO,46.04,76.1,34.0,0,0,6,1,Winter,3.0
FAC040,Retail Pharmacy,Ismailia,SKU072,CID,25.83,76.1,34.0,0,0,6,1,Winter,15.0
FAC037,Retail Pharmacy,Kafr El Sheikh,SKU079,GSK Egypt,151.06,74.1,19.3,0,0,6,1,Winter,8.0
FAC023,Retail Pharmacy,Luxor,SKU073,Pfizer Egypt,91.93,77.3,33.1,0,0,6,1,Winter,2.0
FAC026,Retail Pharmacy,Matrouh,SKU076,Lundbeck Egypt,130.94,77.0,23.3,1,0,6,1,Winter,4.0
FAC019,Retail Pharmacy,Minya,SKU027,AstraZeneca Egypt,103.04,69.8,30.3,0,0,6,1,Winter,8.0
FAC019,Retail Pharmacy,Minya,SKU062,EVA Pharma,28.21,69.8,30.3,0,0,6,1,Winter,60.0
FAC008,Retail Pharmacy,Monufia,SKU033,Pfizer Egypt,41.79,80.5,30.2,0,0,6,1,Winter,6.0
FAC015,Retail Pharmacy,North Sinai,SKU011,EIPICO,43.12,73.2,35.4,1,0,6,1,Winter,4.0
FAC015,Retail Pharmacy,North Sinai,SKU043,GSK Egypt,29.42,73.2,35.4,1,0,6,1,Winter,10.0
FAC042,Retail Pharmacy,North Sinai,SKU024,Novo Nordisk Egypt,134.32,73.2,35.4,0,0,6,1,Winter,4.0
FAC012,Retail Pharmacy,Port Said,SKU033,Pfizer Egypt,42.73,75.0,31.5,0,0,6,1,Winter,4.0
FAC031,Retail Pharmacy,Qalyubia,SKU010,Hikma Egypt,117.32,76.7,23.4,0,0,6,1,Winter,3.0
FAC031,Retail Pharmacy,Qalyubia,SKU068,Sanofi Egypt,159.03,76.7,23.4,0,0,6,1,Winter,11.0
FAC022,Retail Pharmacy,Qena,SKU020,Merck Egypt,51.11,72.4,22.7,0,0,6,1,Winter,14.0
FAC022,Retail Pharmacy,Qena,SKU023,Sanofi Egypt,530.07,72.4,22.7,0,0,6,1,Winter,4.0
FAC022,Retail Pharmacy,Qena,SKU079,GSK Egypt,149.62,72.4,22.7,0,0,6,1,Winter,7.0
FAC049,Hospital Pharmacy,Qena,SKU047,EIPICO,46.47,72.4,22.7,0,0,6,1,Winter,10.0
FAC006,Retail Pharmacy,Sharqia,SKU077,Janssen Egypt,62.98,69.5,26.0,0,0,6,1,Winter,6.0
FAC033,Retail Pharmacy,Sharqia,SKU034,CID,21.94,69.5,26.0,0,0,6,1,Winter,18.0
FAC021,Retail Pharmacy,Sohag,SKU041,Bayer Egypt,35.59,66.9,33.6,0,0,6,1,Winter,11.0
FAC048,Hospital Pharmacy,Sohag,SKU023,Sanofi Egypt,500.02,66.9,33.6,0,0,6,1,Winter,7.0
FAC016,Retail Pharmacy,South Sinai,SKU011,EIPICO,42.86,72.4,27.9,0,0,6,1,Winter,2.0
FAC016,Retail Pharmacy,South Sinai,SKU021,CID,41.51,72.4,27.9,0,0,6,1,Winter,13.0
FAC016,Retail Pharmacy,South Sinai,SKU048,Acino Egypt,66.68,72.4,27.9,0,0,6,1,Winter,6.0
FAC014,Retail Pharmacy,Suez,SKU048,Acino Egypt,68.78,70.8,21.0,0,0,6,1,Winter,6.0
FAC041,Retail Pharmacy,Suez,SKU025,Novo Nordisk Egypt,146.5,70.8,21.0,0,0,6,1,Winter,3.0
FAC041,Retail Pharmacy,Suez,SKU027,AstraZeneca Egypt,104.41,70.8,21.0,0,0,6,1,Winter,6.0
FAC003,Retail Pharmacy,Alexandria,SKU017,Takeda Egypt,79.59,70.2,28.1,0,0,0,1,Winter,23.0
FAC003,Retail Pharmacy,Alexandria,SKU035,Sanofi Egypt,128.53,70.2,28.1,0,0,0,1,Winter,11.0
FAC003,Retail Pharmacy,Alexandria,SKU078,Pharco,77.26,70.2,28.1,0,0,0,1,Winter,9.0
FAC057,Clinic Pharmacy,Alexandria,SKU034,CID,21.93,70.2,28.1,0,0,0,1,Winter,9.0
FAC057,Clinic Pharmacy,Alexandria,SKU046,Memphis,39.27,70.2,28.1,0,0,0,1,Winter,4.0
FAC051,Hospital Pharmacy,Aswan,SKU003,Abbott Egypt,38.02,70.0,19.1,0,0,0,1,Winter,32.0
FAC051,Hospital Pharmacy,Aswan,SKU054,Lundbeck Egypt,107.88,70.0,19.1,0,0,0,1,Winter,5.0
FAC009,Retail Pharmacy,Beheira,SKU012,Sanofi Egypt,37.86,79.5,27.9,0,0,0,1,Winter,12.0
FAC018,Retail Pharmacy,Beni Suef,SKU011,EIPICO,43.51,88.6,33.0,0,0,0,1,Winter,5.0
FAC018,Retail Pharmacy,Beni Suef,SKU055,BMS Egypt,47.88,88.6,33.0,0,0,0,1,Winter,3.0
FAC045,Hospital Pharmacy,Beni Suef,SKU065,Sanofi Egypt,33.74,88.6,33.0,0,0,0,1,Winter,16.0
FAC001,Retail Pharmacy,Cairo,SKU059,EIPICO,22.47,83.4,20.0,0,0,0,1,Winter,5.0
FAC055,Hospital Pharmacy,Cairo,SKU068,Sanofi Egypt,159.59,83.4,20.0,0,0,0,1,Winter,8.0
